p,semilla,fitness,centros
3,0,57.747378470967156,"Matamoros, Nuevo Laredo, San Fernando"
3,1,65.75527907195699,"Mainero, Matamoros, Río Bravo"
3,2,92.50150488940515,"Burgos, Gómez Farías, San Fernando"
3,3,142.9024157127704,"Antiguo Morelos, Casas, San Carlos"
3,4,57.894639645993315,"Padilla, Tampico, Valle Hermoso"
3,5,144.6541191379856,"Abasolo, Nuevo Morelos, San Carlos"
3,6,93.43969257667099,"Llera, Méndez, Xicoténcatl"
3,7,179.88096898880812,"Nuevo Laredo, Padilla, Tula"
3,8,130.46367386259618,"Gómez Farías, Guerrero, Padilla"
3,9,156.53393858721057,"Jiménez, Soto la Marina, Villagrán"
3,10,66.03571098944546,"González, Reynosa, Victoria"
3,11,101.94865358901102,"Bustamante, San Fernando, Villagrán"
3,12,185.88880646757352,"Gómez Farías, Miquihuana, Villagrán"
3,13,132.02979983203636,"San Nicolás, Soto la Marina, Villagrán"
3,14,77.92540010936024,"Camargo, Ocampo, San Fernando"
3,15,187.83294277980022,"Padilla, Palmillas, Tula"
3,16,103.40776977734734,"Méndez, Mier, San Nicolás"
3,17,120.28806309745949,"Burgos, Palmillas, San Nicolás"
3,18,113.2392849911467,"Cruillas, Jaumave, Soto la Marina"
3,19,113.28147361854225,"Hidalgo, Jiménez, Miguel Alemán"
3,20,187.26094143587932,"González, Soto la Marina, Xicoténcatl"
3,21,64.39655550430842,"Güémez, Jaumave, Río Bravo"
3,22,74.39916776648391,"Hidalgo, Ocampo, Reynosa"
3,23,178.04867782530084,"Aldama, Llera, Padilla"
3,24,72.34796338024755,"Guerrero, Hidalgo, Río Bravo"
3,25,102.86524478586664,"Camargo, El Mante, Soto la Marina"
3,26,110.45697618218426,"El Mante, Mier, San Nicolás"
3,27,115.86756391045527,"Abasolo, Cruillas, Padilla"
3,28,115.47328753187057,"Cruillas, Nuevo Morelos, San Nicolás"
3,29,260.5787145304268,"Altamira, Miquihuana, Tula"
5,0,117.89525322078096,"González, Guerrero, El Mante, Miquihuana, San Carlos"
5,1,57.017635812074296,"Aldama, Llera, El Mante, Palmillas, Valle Hermoso"
5,2,43.13556858491555,"Burgos, Gómez Farías, Güémez, Jiménez, Río Bravo"
5,3,45.82919942821285,"Antiguo Morelos, Casas, Cruillas, Reynosa, Xicoténcatl"
5,4,64.1635516688842,"Matamoros, Ocampo, Soto la Marina, Tampico, Victoria"
5,5,48.43072830767273,"Abasolo, El Mante, Nuevo Laredo, Río Bravo, San Carlos"
5,6,48.50618166456589,"Gustavo Díaz Ordaz, Jiménez, Matamoros, Victoria, Xicoténcatl"
5,7,114.51706113107602,"Miguel Alemán, Miquihuana, Ocampo, Soto la Marina, Tampico"
5,8,103.02126434727793,"Casas, Cruillas, Guerrero, Ocampo, Villagrán"
5,9,42.167338540163655,"Burgos, Güémez, Jaumave, San Fernando, Valle Hermoso"
5,10,91.2307223009046,"Ciudad Madero, Gómez Farías, Palmillas, San Fernando, Tula"
5,11,49.27328378359179,"Bustamante, El Mante, Miquihuana, Río Bravo, Valle Hermoso"
5,12,56.8400843827404,"Altamira, Gómez Farías, Mier, Valle Hermoso, Villagrán"
5,13,37.77834150273877,"Altamira, San Carlos, San Fernando, San Nicolás, Valle Hermoso"
5,14,145.15351485885333,"Antiguo Morelos, Bustamante, Hidalgo, Nuevo Laredo, San Carlos"
5,15,91.87765660620194,"Gómez Farías, Nuevo Morelos, Ocampo, San Fernando, Soto la Marina"
5,16,30.104638138379983,"Llera, Matamoros, Méndez, Río Bravo, San Carlos"
5,17,91.02774008935067,"Burgos, Camargo, Mainero, Ocampo, San Carlos"
5,18,91.70546559282872,"Ciudad Madero, Hidalgo, Palmillas, San Fernando, Tampico"
5,19,69.28025693576629,"Gustavo Díaz Ordaz, Jaumave, Méndez, Tula, Xicoténcatl"
5,20,89.56782362722949,"Gómez Farías, González, Mainero, San Fernando, Tula"
5,21,66.91880633661742,"González, Hidalgo, El Mante, Miquihuana, Reynosa"
5,22,92.56767231325537,"Ciudad Madero, Gustavo Díaz Ordaz, Nuevo Morelos, Palmillas, Victoria"
5,23,146.71566372492086,"Aldama, González, Jiménez, Nuevo Laredo, Nuevo Morelos"
5,24,80.7464457127454,"Guerrero, Gustavo Díaz Ordaz, Jiménez, Palmillas, San Carlos"
5,25,87.66704687937816,"Abasolo, Camargo, Cruillas, Mainero, San Nicolás"
5,26,95.6092404983036,"Cruillas, Jaumave, Mainero, Méndez, San Carlos"
5,27,121.87855193244802,"Abasolo, Ciudad Madero, Guerrero, Nuevo Morelos, Xicoténcatl"
5,28,91.31451315682594,"Cruillas, Miquihuana, San Fernando, San Nicolás, Tampico"
5,29,41.52918143752906,"Altamira, Cruillas, Matamoros, Miguel Alemán, Soto la Marina"
7,0,63.71917474571316,"Aldama, Antiguo Morelos, Gómez Farías, Güémez, Mainero, Miguel Alemán, Reynosa"
7,1,83.89397432411133,"Aldama, Camargo, Jiménez, Mainero, Padilla, San Nicolás, Tula"
7,2,86.7393376531952,"Burgos, Cruillas, González, Jaumave, Mainero, Palmillas, San Fernando"
7,3,78.64906379360116,"Antiguo Morelos, Camargo, Casas, Cruillas, Palmillas, San Carlos, Tampico"
7,4,92.21995641686489,"El Mante, Nuevo Laredo, San Fernando, San Nicolás, Tula, Villagrán, Xicoténcatl"
7,5,41.54286663331909,"Abasolo, Mainero, Matamoros, Miguel Alemán, Nuevo Morelos, Palmillas, Río Bravo"
7,6,135.90531111120248,"Guerrero, Hidalgo, Jaumave, El Mante, Ocampo, Tula, Victoria"
7,7,32.93583534723013,"Mier, Nuevo Laredo, Río Bravo, San Fernando, San Nicolás, Victoria, Xicoténcatl"
7,8,44.79128535113725,"Casas, Cruillas, Güémez, Guerrero, Nuevo Laredo, Nuevo Morelos, Valle Hermoso"
7,9,108.38744364508024,"Burgos, González, Hidalgo, Miquihuana, Ocampo, San Carlos, Tampico"
7,10,27.21385259993535,"Ciudad Madero, Gómez Farías, Méndez, Ocampo, Río Bravo, San Fernando, Soto la Marina"
7,11,51.26422792744908,"Burgos, Mainero, Miguel Alemán, Miquihuana, Palmillas, Reynosa, Tampico"
7,12,38.703925310660175,"Altamira, Casas, Ciudad Madero, Cruillas, Méndez, Tampico, Valle Hermoso"
7,13,26.8499524813821,"Altamira, Reynosa, Río Bravo, San Carlos, San Fernando, Victoria, Villagrán"
7,14,64.3486269183518,"Antiguo Morelos, Bustamante, Gustavo Díaz Ordaz, Miquihuana, Padilla, Reynosa, Xicoténcatl"
7,15,32.57211643159519,"Ciudad Madero, Cruillas, Gustavo Díaz Ordaz, Nuevo Laredo, Nuevo Morelos, Río Bravo, San Fernando"
7,16,25.668667516610824,"Antiguo Morelos, Jiménez, Mainero, Matamoros, Méndez, Reynosa, Río Bravo"
7,17,43.7377428987945,"Burgos, Camargo, Llera, Mier, Nuevo Morelos, Río Bravo, Xicoténcatl"
7,18,124.97371662051587,"Ciudad Madero, González, Hidalgo, Ocampo, San Carlos, San Nicolás, Xicoténcatl"
7,19,62.05690723299017,"González, Guerrero, Hidalgo, Matamoros, Tampico, Victoria, Xicoténcatl"
7,20,142.01822212253984,"Bustamante, Gómez Farías, Llera, San Carlos, Soto la Marina, Tula, Xicoténcatl"
7,21,81.09018301663568,"González, Gustavo Díaz Ordaz, Hidalgo, Mainero, Miguel Alemán, Padilla, Villagrán"
7,22,131.08997914627682,"Antiguo Morelos, Casas, González, Guerrero, Miquihuana, Ocampo, Tula"
7,23,201.73176703466405,"Aldama, Bustamante, Gómez Farías, Jaumave, Miquihuana, Nuevo Laredo, Xicoténcatl"
7,24,61.19652582698948,"Bustamante, Güémez, Gustavo Díaz Ordaz, Jaumave, Miguel Alemán, Padilla, Río Bravo"
7,25,83.17982720796627,"Abasolo, Camargo, Cruillas, Llera, Mier, San Carlos, Villagrán"
7,26,25.555131702069236,"Altamira, Cruillas, Hidalgo, Jaumave, Llera, Matamoros, Reynosa"
7,27,157.9189993336432,"Abasolo, Bustamante, Ciudad Madero, Güémez, Miquihuana, Nuevo Laredo, Victoria"
7,28,32.9647342671762,"Ciudad Madero, Miguel Alemán, Río Bravo, San Carlos, San Fernando, San Nicolás, Villagrán"
7,29,36.22594131141076,"Aldama, Cruillas, El Mante, Matamoros, Mier, Ocampo, San Fernando"
10,0,74.28933016537667,"Abasolo, Aldama, Antiguo Morelos, Casas, Cruillas, González, Llera, Méndez, Ocampo, San Fernando"
10,1,40.8895116442137,"Aldama, Bustamante, Gómez Farías, Guerrero, Jaumave, Jiménez, Nuevo Morelos, Río Bravo, San Nicolás, Tula"
10,2,42.14245340083354,"Antiguo Morelos, Cruillas, González, Gustavo Díaz Ordaz, Hidalgo, Llera, Miquihuana, Ocampo, Reynosa, Victoria"
10,3,35.53313247806977,"Aldama, Altamira, Burgos, Camargo, Ciudad Madero, Mier, Nuevo Morelos, Reynosa, San Fernando, Tampico"
10,4,38.84164043097826,"Antiguo Morelos, Llera, Mainero, Miguel Alemán, Nuevo Laredo, Reynosa, San Carlos, San Nicolás, Tula, Valle Hermoso"
10,5,84.6937391750901,"Abasolo, Altamira, González, Jiménez, El Mante, Méndez, Miquihuana, Ocampo, Padilla, Villagrán"
10,6,69.47858566450124,"Güémez, Gustavo Díaz Ordaz, Hidalgo, Llera, Nuevo Laredo, San Nicolás, Tampico, Victoria, Villagrán, Xicoténcatl"
10,7,19.21239002803221,"Altamira, Cruillas, Güémez, Matamoros, Miguel Alemán, Palmillas, Río Bravo, San Carlos, Tampico, Valle Hermoso"
10,8,50.73630078005945,"Camargo, Ciudad Madero, González, Güémez, Miguel Alemán, Miquihuana, Nuevo Laredo, Río Bravo, Soto la Marina, Tampico"
10,9,40.18050399872175,"Burgos, Gómez Farías, Gustavo Díaz Ordaz, Mier, Nuevo Laredo, Palmillas, Reynosa, San Fernando, Villagrán, Xicoténcatl"
10,10,27.737980822110064,"Camargo, Casas, Cruillas, El Mante, Méndez, Nuevo Laredo, Palmillas, Río Bravo, San Carlos, San Fernando"
10,11,30.149875661617966,"Aldama, Burgos, Camargo, Llera, El Mante, Méndez, Mier, Ocampo, San Fernando, Valle Hermoso"
10,12,43.49335609603678,"Altamira, Casas, Ciudad Madero, Hidalgo, El Mante, Miguel Alemán, San Nicolás, Soto la Marina, Valle Hermoso, Victoria"
10,13,35.681280441304274,"Altamira, Antiguo Morelos, Casas, Gómez Farías, Padilla, Palmillas, Reynosa, San Fernando, Tampico, Tula"
10,14,45.387323514926194,"Antiguo Morelos, Bustamante, Guerrero, Gustavo Díaz Ordaz, Mier, Nuevo Morelos, Padilla, San Nicolás, Valle Hermoso, Xicoténcatl"
10,15,41.89823000774216,"Aldama, Ciudad Madero, Cruillas, Guerrero, Llera, Miguel Alemán, Miquihuana, Palmillas, Reynosa, Xicoténcatl"
10,16,48.54855674487654,"Abasolo, Antiguo Morelos, Gustavo Díaz Ordaz, Hidalgo, Llera, Mainero, Matamoros, Nuevo Laredo, Padilla, Tampico"
10,17,41.6143330100468,"Aldama, Antiguo Morelos, Bustamante, Cruillas, Hidalgo, Jiménez, Matamoros, Miquihuana, Padilla, Palmillas"
10,18,75.36878399212434,"Antiguo Morelos, Casas, Gómez Farías, Guerrero, Gustavo Díaz Ordaz, Nuevo Laredo, Palmillas, San Carlos, Victoria, Villagrán"
