f1_distancia_promedio,f2_distancia_maxima,f3_numero_centros,centros
57.082257357436454,190.624696,3,"Casas, Gustavo Díaz Ordaz, Valle Hermoso"
31.4838538804033,166.394431,4,"González, Gustavo Díaz Ordaz, Matamoros, San Fernando"
20.487328985594157,218.757001,4,"González, Matamoros, Río Bravo, San Fernando"
57.96026278850363,171.210441,3,"Gustavo Díaz Ordaz, Llera, Valle Hermoso"
39.789813631059396,197.327862,3,"González, Reynosa, San Fernando"
16.62166718898823,218.757001,5,"González, Matamoros, Río Bravo, San Fernando, Valle Hermoso"
59.77113611663137,166.394431,3,"González, Gustavo Díaz Ordaz, San Fernando"
32.56141237266288,218.757001,3,"González, Río Bravo, San Fernando"
17.352438277929657,197.327862,5,"González, Matamoros, Reynosa, Río Bravo, San Fernando"
21.42255192661401,197.327862,4,"González, Matamoros, Reynosa, San Fernando"
13.486776481323737,197.327862,6,"González, Matamoros, Reynosa, Río Bravo, San Fernando, Valle Hermoso"
9.64548053305068,197.327862,7,"Casas, González, Matamoros, Reynosa, Río Bravo, San Fernando, Valle Hermoso"
57.53560466761939,176.097157,3,"Gustavo Díaz Ordaz, Soto la Marina, Valle Hermoso"
3.721808806322683,197.327862,10,"Altamira, Casas, González, Matamoros, Méndez, Reynosa, Río Bravo, San Fernando, Soto la Marina, Valle Hermoso"
12.780371240715173,218.757001,6,"Casas, González, Matamoros, Río Bravo, San Fernando, Valle Hermoso"
19.509264540550127,159.121441,5,"Camargo, González, Matamoros, Río Bravo, San Fernando"
28.168142640762028,128.460678,5,"Casas, González, Mier, Río Bravo, San Fernando"
27.985636966192395,129.804564,5,"Casas, González, Miguel Alemán, Río Bravo, San Fernando"
15.911553579123666,129.804564,6,"Casas, González, Matamoros, Miguel Alemán, Río Bravo, San Fernando"
12.228397457087373,128.460678,7,"Casas, González, Matamoros, Mier, Río Bravo, San Fernando, Valle Hermoso"
16.0940592536933,128.460678,6,"Casas, González, Matamoros, Mier, Río Bravo, San Fernando"
9.19957393460242,91.820321,10,"González, Gustavo Díaz Ordaz, Llera, Matamoros, Méndez, Nuevo Laredo, Padilla, Río Bravo, San Fernando, Valle Hermoso"
31.583347927618853,159.121441,4,"Camargo, González, Río Bravo, San Fernando"
13.762580065320183,106.008269,7,"González, Guerrero, Matamoros, Río Bravo, San Fernando, Valle Hermoso, Victoria"
70.87439659669022,159.121441,3,"Camargo, González, San Fernando"
4.541930459080558,197.327862,9,"Altamira, Casas, González, Matamoros, Méndez, Reynosa, Río Bravo, San Fernando, Valle Hermoso"
27.985130795785803,91.820321,7,"González, Gustavo Díaz Ordaz, Llera, Matamoros, Nuevo Laredo, Padilla, San Fernando"
13.629647646046207,122.698237,7,"González, Matamoros, Mier, Río Bravo, San Fernando, Valle Hermoso, Victoria"
12.045891782517742,129.804564,7,"Casas, González, Matamoros, Miguel Alemán, Río Bravo, San Fernando, Valle Hermoso"
9.639804742129789,218.757001,7,"Casas, González, Matamoros, Méndez, Río Bravo, San Fernando, Valle Hermoso"
8.905325283932356,129.804564,8,"Casas, González, Matamoros, Méndez, Miguel Alemán, Río Bravo, San Fernando, Valle Hermoso"
15.643602743944205,159.121441,6,"Camargo, González, Matamoros, Río Bravo, San Fernando, Valle Hermoso"
10.623338635054765,106.008269,8,"González, Guerrero, Matamoros, Méndez, Río Bravo, San Fernando, Valle Hermoso, Victoria"
7.695430331374136,106.008269,9,"González, Guerrero, Matamoros, Méndez, Reynosa, Río Bravo, San Fernando, Valle Hermoso, Victoria"
12.144879659326712,91.820321,9,"Camargo, González, Llera, Matamoros, Nuevo Laredo, Padilla, Río Bravo, San Fernando, Valle Hermoso"
6.0436551302018975,129.804564,9,"Casas, González, Matamoros, Méndez, Miguel Alemán, Reynosa, Río Bravo, San Fernando, Valle Hermoso"
6.504914034465295,197.327862,8,"Casas, González, Matamoros, Méndez, Reynosa, Río Bravo, San Fernando, Valle Hermoso"
13.20355698462998,103.28924,8,"Camargo, González, Matamoros, Nuevo Laredo, Río Bravo, San Fernando, Valle Hermoso, Victoria"
16.010541455932636,91.820321,8,"Camargo, González, Llera, Matamoros, Nuevo Laredo, Padilla, Río Bravo, San Fernando"
27.742051979345796,146.150389,5,"Camargo, Casas, González, Río Bravo, San Fernando"
17.49530944265213,122.698237,6,"González, Matamoros, Mier, Río Bravo, San Fernando, Victoria"
29.569392829720854,122.698237,5,"González, Mier, Río Bravo, San Fernando, Victoria"
4.080671554817162,129.804564,10,"Altamira, Casas, González, Matamoros, Méndez, Miguel Alemán, Reynosa, Río Bravo, San Fernando, Valle Hermoso"
