f1_distancia_promedio,f2_distancia_maxima,centros
74.24941736268339,150.277393,"Camargo, San Fernando, Xicoténcatl"
81.97187386326387,146.150389,"Camargo, Méndez, Xicoténcatl"
59.77113611663137,166.394431,"González, Gustavo Díaz Ordaz, San Fernando"
32.56141237266288,218.757001,"González, Río Bravo, San Fernando"
39.789813631059396,197.327862,"González, Reynosa, San Fernando"
70.87439659669022,159.121441,"Camargo, González, San Fernando"
57.96026278850363,171.210441,"Gustavo Díaz Ordaz, Llera, Valle Hermoso"
57.082257357436454,190.624696,"Casas, Gustavo Díaz Ordaz, Valle Hermoso"
89.5044624580781,138.045942,"El Mante, Méndez, Miguel Alemán"
88.64983778054405,141.396971,"Méndez, Miguel Alemán, Xicoténcatl"
57.53560466761939,176.097157,"Gustavo Díaz Ordaz, Soto la Marina, Valle Hermoso"
