Framework,Semilla,Fitness_final,Tiempo_s
DEAP,0,0.0054204843267262,0.1013710000552237
PYMOO,0,0.017334717486529077,0.23200610000640154
DEAP,1,0.011926003157694381,0.08674250007607043
PYMOO,1,0.009649881953844636,0.21458960021845996
DEAP,2,0.004069910689609241,0.08155150013044477
PYMOO,2,0.01580611632439254,0.1920493000652641
DEAP,3,0.011047265967392587,0.08554870006628335
PYMOO,3,0.0042285935855348716,0.36654870002530515
DEAP,4,0.028396849561829567,0.11812380002811551
PYMOO,4,0.017541050678824277,0.42883550003170967
DEAP,5,0.011975822156769372,0.17840399988926947
PYMOO,5,0.013141013605733404,0.5522214998491108
DEAP,6,0.012022442688263421,0.23065710021182895
PYMOO,6,0.01884077219362968,0.46224410017021
DEAP,7,0.008473491037014218,0.17270300001837313
PYMOO,7,0.0035089458177283805,0.5428583000320941
DEAP,8,0.004951884049017446,0.27402810007333755
PYMOO,8,0.005926301235363962,0.449571100063622
DEAP,9,0.011276140917477199,0.2783671000506729
PYMOO,9,0.010523967081423351,0.24569740006700158
DEAP,10,0.005797293694239063,0.09212879999540746
PYMOO,10,0.00968437017021523,0.19868140015751123
DEAP,11,0.0030149269674721877,0.08647199999541044
PYMOO,11,0.009778226105934033,0.22210639994591475
DEAP,12,0.004640884851162802,0.08009339985437691
PYMOO,12,0.010108875467818034,0.20271870004944503
DEAP,13,0.007433364585848984,0.0816900001373142
PYMOO,13,0.005994895906016176,0.38896070001646876
DEAP,14,0.013755184695271065,0.08367550000548363
PYMOO,14,0.00922190957280371,0.2095792000181973
DEAP,15,0.006886344124998017,0.07804129994474351
PYMOO,15,0.006509831161462594,0.24616910004988313
DEAP,16,0.019571635035424084,0.08027600008063018
PYMOO,16,0.006888978655505028,0.19486499996855855
DEAP,17,0.004988176712153595,0.09542389982379973
PYMOO,17,0.025988314746668507,0.2163907999638468
DEAP,18,0.0025187725577131633,0.08880630019120872
PYMOO,18,0.016297814824855417,0.1993101998232305
DEAP,19,0.015164221926715404,0.08084989991039038
PYMOO,19,0.00247446921994433,0.22032409999519587
DEAP,20,0.010280833287690621,0.08837089990265667
PYMOO,20,0.01434651387717244,0.18491199985146523
DEAP,21,0.032838255327487104,0.0819679000414908
PYMOO,21,0.014719352434390928,0.19009370007552207
DEAP,22,0.009967895291005656,0.0907492998521775
PYMOO,22,0.0030739699124559343,0.2176441999617964
DEAP,23,0.00393924536538753,0.08164700004272163
PYMOO,23,0.010207475247635538,0.19506569998338819
DEAP,24,0.008703261663288065,0.07731420011259615
PYMOO,24,0.012333711911470684,0.1873773999977857
DEAP,25,0.004834949545462429,0.08365539996884763
PYMOO,25,0.010015370890276591,0.2234442001208663
DEAP,26,0.013580494579182823,0.07806620001792908
PYMOO,26,0.007388641003684268,0.2000055001117289
DEAP,27,0.002384074118017347,0.07699689990840852
PYMOO,27,0.005673191455282461,0.20240010018460453
DEAP,28,0.007457089999056617,0.08331150002777576
PYMOO,28,0.0166949381212081,0.22142319986596704
DEAP,29,0.014883745314877508,0.09254859993234277
PYMOO,29,0.003777391040158973,0.191528300056234
