Framework,Poblacion,Semilla,Fitness_final,Tiempo_s
DEAP,20,0,0.04120590762455806,0.046826599864289165
PYMOO,20,0,0.06477077619136458,0.11109520005993545
DEAP,20,1,0.07654424417965457,0.032129500061273575
PYMOO,20,1,0.0804706770088281,0.10981240007095039
DEAP,20,2,0.051487878456609536,0.039104799972847104
PYMOO,20,2,0.02237817636125757,0.1110729998908937
DEAP,20,3,0.022308279388204847,0.037264900049194694
PYMOO,20,3,0.05386695224415383,0.12279860000126064
DEAP,20,4,0.08440257965676701,0.029233000008389354
PYMOO,20,4,0.02609716766785213,0.11771779996342957
DEAP,20,5,0.10863065178661134,0.04190690000541508
PYMOO,20,5,0.03794036555484506,0.1334645999595523
DEAP,20,6,0.05813376455830593,0.03682819986715913
PYMOO,20,6,0.048484547939363264,0.1712090999353677
DEAP,20,7,0.10968386919525429,0.055972900008782744
PYMOO,20,7,0.024308646929243467,0.12367339991033077
DEAP,20,8,0.03381748236094815,0.03513179998844862
PYMOO,20,8,0.082380534173255,0.1120295999571681
DEAP,20,9,0.11886958694363317,0.03747119987383485
PYMOO,20,9,0.013845508163951224,0.1277696997858584
DEAP,20,10,0.03111364899320808,0.03244130010716617
PYMOO,20,10,0.03110900304046118,0.11302119982428849
DEAP,20,11,0.068828129420969,0.03636629995889962
PYMOO,20,11,0.01171368570309267,0.10765799996443093
DEAP,20,12,0.015351958789105466,0.02902040001936257
PYMOO,20,12,0.04543790351710304,0.1915271000470966
DEAP,20,13,0.07548743832236032,0.06405939999967813
PYMOO,20,13,0.026068448932437052,0.11633280012756586
DEAP,20,14,0.06210636502626969,0.03750850004144013
PYMOO,20,14,0.054217215942524134,0.10988280014134943
DEAP,20,15,0.046038921415818654,0.031375400023534894
PYMOO,20,15,0.006925060349056168,0.1498378999531269
DEAP,20,16,0.030095711110164878,0.03537770011462271
PYMOO,20,16,0.05748929419673034,0.16017229994758964
DEAP,20,17,0.018348738455297373,0.0778711000457406
PYMOO,20,17,0.031659535501368394,0.10612719994969666
DEAP,20,18,0.09445466420877595,0.031665700022131205
PYMOO,20,18,0.031370138820135306,0.11260009999386966
DEAP,20,19,0.025243655612040995,0.03510949993506074
PYMOO,20,19,0.05961696861023262,0.11173660005442798
DEAP,20,20,0.038911494986993374,0.04985169996507466
PYMOO,20,20,0.011362630746702934,0.12097299983724952
DEAP,20,21,0.06801735044871803,0.0328656998462975
PYMOO,20,21,0.0380997361791799,0.1064279000274837
DEAP,20,22,0.022087173492791098,0.03278800006955862
PYMOO,20,22,0.012548631527354118,0.1152917998842895
DEAP,20,23,0.05847616294544918,0.028258400037884712
PYMOO,20,23,0.06638188446792034,0.10275140008889139
DEAP,20,24,0.02863319061118263,0.029697800055146217
PYMOO,20,24,0.03048647821700423,0.11572329979389906
DEAP,20,25,0.05281852312054918,0.0351108000613749
PYMOO,20,25,0.024487967459068775,0.13308520009741187
DEAP,20,26,0.13412427313040182,0.03917619981803
PYMOO,20,26,0.03525583617393147,0.1258125000167638
DEAP,20,27,0.036527366366952294,0.032287999987602234
PYMOO,20,27,0.04676221569944752,0.11461519985459745
DEAP,20,28,0.07015595054861257,0.035264700185507536
PYMOO,20,28,0.03708632081826546,0.1079508000984788
DEAP,20,29,0.04916456713890738,0.03241729992441833
PYMOO,20,29,0.024830654015384698,0.10598250012844801
DEAP,50,0,0.0054204843267262,0.08670979994349182
PYMOO,50,0,0.017334717486529077,0.22960209986194968
DEAP,50,1,0.011926003157694381,0.10415989998728037
PYMOO,50,1,0.009649881953844636,0.24126200005412102
DEAP,50,2,0.004069910689609241,0.10766250011511147
PYMOO,50,2,0.01580611632439254,0.2622929001227021
DEAP,50,3,0.011047265967392587,0.11906149983406067
PYMOO,50,3,0.0042285935855348716,0.2645376999862492
DEAP,50,4,0.028396849561829567,0.08079589996486902
PYMOO,50,4,0.017541050678824277,0.26691449992358685
DEAP,50,5,0.011975822156769372,0.08488900004886091
PYMOO,50,5,0.013141013605733404,0.2633887000847608
DEAP,50,6,0.012022442688263421,0.08346450002864003
PYMOO,50,6,0.01884077219362968,0.23222020012326539
DEAP,50,7,0.008473491037014218,0.07019070000387728
PYMOO,50,7,0.0035089458177283805,0.20928020006977022
DEAP,50,8,0.004951884049017446,0.07760629989206791
PYMOO,50,8,0.005926301235363962,0.21886619995348155
DEAP,50,9,0.011276140917477199,0.11710859998129308
PYMOO,50,9,0.010523967081423351,0.1976522000040859
DEAP,50,10,0.005797293694239063,0.07474109996110201
PYMOO,50,10,0.00968437017021523,0.19274239987134933
DEAP,50,11,0.0030149269674721877,0.07202710001729429
PYMOO,50,11,0.009778226105934033,0.20806080009788275
DEAP,50,12,0.004640884851162802,0.09186649997718632
PYMOO,50,12,0.010108875467818034,0.21387490001507103
DEAP,50,13,0.007433364585848984,0.07494399999268353
PYMOO,50,13,0.005994895906016176,0.23473330005072057
DEAP,50,14,0.013755184695271065,0.08083200012333691
PYMOO,50,14,0.00922190957280371,0.22333949990570545
DEAP,50,15,0.006886344124998017,0.08506190008483827
PYMOO,50,15,0.006509831161462594,0.2831079999450594
DEAP,50,16,0.019571635035424084,0.10113450000062585
PYMOO,50,16,0.006888978655505028,0.228329700184986
DEAP,50,17,0.004988176712153595,0.07567459996789694
PYMOO,50,17,0.025988314746668507,0.21505890018306673
DEAP,50,18,0.0025187725577131633,0.07557889982126653
PYMOO,50,18,0.016297814824855417,0.22929519996978343
DEAP,50,19,0.015164221926715404,0.11425790004432201
PYMOO,50,19,0.00247446921994433,0.21712190005928278
DEAP,50,20,0.010280833287690621,0.10470629995688796
PYMOO,50,20,0.01434651387717244,0.22898729983717203
DEAP,50,21,0.032838255327487104,0.12542040017433465
PYMOO,50,21,0.014719352434390928,0.21701329993084073
DEAP,50,22,0.009967895291005656,0.07698250003159046
PYMOO,50,22,0.0030739699124559343,0.23123869998380542
DEAP,50,23,0.00393924536538753,0.1065407998394221
PYMOO,50,23,0.010207475247635538,0.19314469979144633
DEAP,50,24,0.008703261663288065,0.07177580008283257
PYMOO,50,24,0.012333711911470684,0.20011820015497506
DEAP,50,25,0.004834949545462429,0.07398080010898411
PYMOO,50,25,0.010015370890276591,0.23439579992555082
DEAP,50,26,0.013580494579182823,0.07613549986854196
PYMOO,50,26,0.007388641003684268,0.20119550009258091
DEAP,50,27,0.002384074118017347,0.07750800019130111
PYMOO,50,27,0.005673191455282461,0.22325959987938404
DEAP,50,28,0.007457089999056617,0.08965340000577271
PYMOO,50,28,0.0166949381212081,0.19381340011022985
DEAP,50,29,0.014883745314877508,0.0754651001188904
PYMOO,50,29,0.003777391040158973,0.19396950001828372
DEAP,100,0,0.0036707522383265185,0.15304469992406666
PYMOO,100,0,0.002284367913576849,0.3765459000132978
DEAP,100,1,0.003826743386590474,0.14804370002821088
PYMOO,100,1,0.005105290050442737,0.34626140003092587
DEAP,100,2,0.003977451488059503,0.14506360003724694
PYMOO,100,2,0.005442942085834767,0.3745043999515474
DEAP,100,3,0.0014665358741845851,0.1823715001810342
PYMOO,100,3,0.00421726615666021,0.3336571000982076
DEAP,100,4,0.005322948311889334,0.19736390002071857
